問題ID,分野,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正答,キーワード,解説
1,整形,次の症例について問いに答えよ。28歳の女性。2年前より右前腕から手部にかけて鈍痛を覚えるようになった。現在は上肢の脱力感、しびれに加え冷えも感じるようになり、上肢の挙上で症状は増悪する。この患者に行うテストとして適切でないのはどれか。,ライトテスト,アドソンテスト,アプレーテスト,モーリーテスト,3,胸郭出口症候群 TOS,挙上で悪化し冷えを伴うため胸郭出口症候群。アプレーテストは膝の検査で不適切
2,整形,理学的検査所見と刺鍼部位との組合せで適切でないのはどれか。,ライトテスト陽性—後頸部,ヤーガソンテスト陽性—上腕二頭筋長頭腱部,ペインフルアークサイン陽性—腱板部,アレンテスト陽性—斜角筋部,1,TOS 小胸筋,ライトテストは小胸筋領域で後頸部は不適切
3,整形,次の文で示す患者の病態から考えて施術対象となる筋はどれか。「27歳の女性。ワープロ作業中に肩から腕にかけての痛みとしびれとがある。ジャクソンテスト陰性、アレンテスト陽性、鎖骨上窩部の圧迫で痛みとしびれとが上肢に放散する。」,僧帽筋,棘上筋,斜角筋,大胸筋,3,TOS 斜角筋,鎖骨上窩圧迫で症状誘発は斜角筋が原因
4,整形,次の文で示す患者の病態から考えて緊張を改善すべき適切な筋はどれか。「33歳の女性。3か月前から腕をあげて作業をすると上肢が重だるく、しびれるようになってきた。ジャクソンテスト陰性、ライトテスト陽性、3分間挙上負荷試験陽性であった。」,胸鎖乳突筋,僧帽筋,小胸筋,棘上筋,3,TOS 小胸筋,ライトテスト陽性は小胸筋圧迫型TOS
5,整形,理学的検査所見と刺鍼部位との組合せで適切なのはどれか。,Kボンネットテスト陽性—殿部,マクマリィーテスト陽性—腹部,パトリック徴候陽性—肩上部,ニュートンテスト陽性—後頸部,1,梨状筋症候群,Kボンネットは梨状筋で殿部施術
6,整形,次の文で示す運動麻痺の罹患神経に対する治療穴として適切なのはどれか。「手背の骨間溝が著名で鷲手がみられる。フローマン徴候陽性。」,支正,郄門,偏歴,大陵,1,尺骨神経 支正,鷲手とフローマン徴候は尺骨神経障害で支正が対応
7,整形,次の文で示す患者の病態に対する刺鍼部位はどれか。「35歳の男性。肩関節外側部の痛みを訴える。上腕骨上端の圧痛、ペインフルアークサイン陽性。」,肩甲棘下窩中央,腱板部,結節間溝部,鎖骨上窩部,2,棘上筋 腱板,ペインフルアークは腱板（棘上筋）障害
8,整形,次の文で示す患者の病態から考えて罹患部への局所治療として適切な経穴はどれか。「26歳の女性。やせていてなで肩。主訴は右上肢全体の持続的なだるさで、アレンテスト、ジャクソンテストは陰性。エデンテストは陽性である。」,気戸,巨骨,扶突,肩井,1,TOS 気戸,エデンテスト陽性は鎖骨下での圧迫であり気戸が適切
9,整形,理学的検査と刺鍼部位との組合せで適切でないのはどれか。,エデンテスト陽性—気戸,アドソンテスト陽性—欠盆,アレンテスト陽性—天鼎,ヤーガソンテスト陽性—臑会,4,ヤーガソン 結節間溝,ヤーガソンは上腕二頭筋長頭腱で臑会は不適切
10,整形,次の文で示す患者の病態に対する治療穴で適切なのはどれか。「45歳の女性。1年前から水泳を始めた。最近クロールの際右肩に痛みが起こる。ペインフルアークサイン陽性。」,臑会,天府,肩髃,肩外兪,3,腱板 棘上筋,ペインフルアークは棘上筋障害で肩髃が適切
11,整形,次の文で示す患者の病態に対し、罹患部への局所治療穴として適切なのはどれか。「50歳の男性。左官業。上肢に痛みとしびれが出現し、作業により増悪する。ライトテスト陽性。ジャクソンテスト陰性。」,肩井,懸顱,中府,天髎,1,TOS 肩井,ライトテスト陽性で肩部圧迫型TOS
12,整形,理学的検査法と局所治療穴との組合せで適切でないのはどれか。,スピードテスト陽性—天府,手関節背屈テスト陽性—支正,膝外反ストレステスト陽性—曲泉,アキレス腱伸展テスト陽性—承筋,2,正中神経 不一致,手関節背屈と支正は一致しない
13,整形,理学的検査所見と局所治療穴との組合せで適切でないのはどれか。,膝外反ストレステスト陽性—曲泉,チェアテスト陽性—曲池,ファレンテスト陽性—陽池,パトリックテスト陽性—環跳,3,手根管 正中神経,ファレンは正中神経で陽池は不適切
14,整形,理学検査所見と罹患局所への施術部位との組合せで適切でないのはどれか。,ジャクソンテスト陽性—頚部,アドソンテスト陽性—肩関節部,ヤーガソンテスト陽性—上腕部,トムゼンテスト陽性—前腕部,2,TOS 頚部領域,アドソンは頚部周囲で肩ではない
15,整形,ラセーグテスト陽性のとき、徒手による神経伸展法の対象となる神経はどれか。,上殿神経,下殿神経,大腿神経,坐骨神経,4,SLR 坐骨神経,ラセーグテストは坐骨神経を伸展させる検査
16,整形,胸郭出口症候群で橈骨動脈の拍動を指標とする理学検査で適切でないのはどれか。,アレンテスト,エデンテスト,モーリーテスト,ライトテスト,3,TOS 検査,モーリーテストは橈骨動脈拍動評価を主としないため不適切
17,整形,理学検査所見と罹患局所への治療穴との組合せで適切でないのはどれか。,モーリーテスト陽性—缺盆,ペインフルアークサイン陽性—膏肓,チェアテスト陽性—手三里,フィンケルステインテスト陽性—偏歴,2,肩 腱板,ペインフルアークは腱板で膏肓は不適切
18,整形,45歳の男性。上肢の痛みとしびれを訴える。上腕外側の知覚鈍麻、三角筋の筋力低下、上腕二頭筋反射減弱。椎間孔圧迫症状の確認を目的として行う理学検査で正しいのはどれか。,アレンテスト,スパーリングテスト,エデンテスト,ライトテスト,2,神経根障害 スパーリング,頸椎神経根圧迫はスパーリングで確認
19,整形,梨状筋への施術の必要性を示す理学検査所見はどれか。,FNSテスト陽性,Kボンネットテスト陽性,トーマステスト陽性,パトリックテスト陽性,2,梨状筋 Kボンネット,梨状筋症候群はKボンネット陽性
20,整形,最も考えられる疾患はどれか。「24歳の女性。3か月前より右上肢から小指にかけてのしびれを自覚。頸椎を患側に回旋し、後屈した状態で深呼吸させると橈骨動脈の拍動が消失する。スパーリングテスト陰性。ホフマン反射陰性。」,頸部神経根症,頸部脊髄症,胸郭出口症候群,手根管症候群,3,TOS 拍動消失,腕挙上や姿勢で拍動消失は胸郭出口症候群
21,整形,罹患部への局所施術の対象として適切な筋はどれか。「24歳の女性。3か月前より右上肢から小指にかけてのしびれを自覚。頸椎を患側に回旋し、後屈した状態で深呼吸させると橈骨動脈の拍動が消失する。スパーリングテスト陰性。ホフマン反射陰性。」,尺側手根屈筋,円回内筋,僧帽筋,前・中斜角筋,4,TOS 斜角筋,胸郭出口症候群では斜角筋が主な圧迫筋
22,整形,回旋筋腱板を構成する筋に対する経穴でないのはどれか。,巨骨,天宗,臑兪,肩貞,3,腱板 筋対応,臑兪は回旋筋腱板の直接対応ではないため不適切
23,整形,次の文で示す末梢神経麻痺に対し、施術対象となる罹患筋はどれか。「足関節の底屈(屈曲)ができず、階段昇降が困難である。」,下腿三頭筋,前脛骨筋,長母指伸筋,長腓骨筋,1,底屈不能 下腿三頭筋,足関節底屈は下腿三頭筋の作用
24,整形,理学的検査所見と罹患局所への施術部位との組合せで適切なのはどれか。,チェアテスト陽性—結節間溝部,スパーリングテスト陽性—頸椎部,ヤーガソンテスト陽性—上腕骨外側上顆部,ライトテスト陽性—手根管部,2,神経根 頸椎,スパーリング陽性は頸椎部施術が適切
25,整形,30歳の男性。2か月前より右殿部から下腿後面・足底にかけて痛む。間欠跛行はない。右SLRテスト陽性。右足背動脈の拍動は触知可能。最も考えられる疾患はどれか。,腰部脊柱管狭窄症,腰椎椎間板ヘルニア,閉塞性動脈硬化症,糖尿病性神経障害,2,SLR ヘルニア,SLR陽性かつ血流正常は椎間板ヘルニア
26,整形,43歳の女性。3週間前から母指、示指、中指に痛み・しびれが発症し、最近は母指が動かしにくい。仕事は手作業。理学的検査法として適切なのはどれか。,ファレンテスト,フローマン徴候,チェアテスト,ドロップアームテスト,1,手根管症候群,母指〜中指は正中神経でファレン陽性
27,整形,次の文で示す患者の病態に対し、罹患局所への施術部位として適切なのはどれか。「39歳の男性。友人の引っ越し作業を手伝った後、肩関節前面の痛みを自覚するようになった。外転外旋時に痛みが強い。ヤーガソンテスト陽性。」,烏口突起部,結節間溝部,棘下部,肩甲骨下角部,2,二頭筋長頭,ヤーガソン陽性は結節間溝部
28,整形,次の文で示す患者の病態に対し、罹患部への局所治療穴として適切なのはどれか。「62歳の男性。前腕尺側に痛みがあり、薬指・小指にしびれがある。上腕骨外顆骨折の既往があり、フローマン徴候陽性。」,小海,曲池,天井,孔最,1,尺骨神経 小海,尺骨神経障害では小海が適切
29,整形,トレンデレンブルグ徴候を呈する場合、罹患局所への治療部位として最も適切なのはどれか,第3腰椎棘突起周囲,大転子周囲,膝蓋骨周囲,踵骨周囲,2,中殿筋 大転子,トレンデレンブルグは中殿筋機能低下で大転子部が対象
30,整形,腰椎椎間関節部への施術の必要性を示す理学検査所見はどれか,ケンプ徴候陽性,ニュートンテスト陽性,パトリックテスト陽性,ボンネットテスト陽性,1,ケンプ 椎間関節,ケンプ徴候は椎間関節障害を示す
31,整形,アキレス腱断裂を確認する検査で適切なのはどれか,トンプソンテスト,トーマステスト,エリー徴候,チェアテスト,1,トンプソン アキレス腱,下腿圧迫で足関節底屈消失は断裂
